Facility,Start Date,End Date,Region,State,Non-Add,Facility Type,Primary Facility,Center Area,Old Level,New Level,Class,Hours Of Ops,AT MIL,Oceanic,Arpt Ops,Instr Appr,Acft Handled,Instr Ops,Stage III/TCA,Seasonal,Classification
0F8:Sand Springs/Pogue Muni,199510,Present,2,OK,Yes,F,TUL,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0G0:Lockport/N Buffalo Suburbn,199610,Present,1,NY,Yes,F,BUF,ZOB,,,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0G2:Fremont/Jenkins,------,Present,C,OH,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0G6:Bryan/Williams County,------,Present,C,OH,Yes,F,TOL,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0G7:Seneca Falls,------,Present,1,NY,Yes,F,SYR,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0I2:Brazil Clay County,199710,Present,C,IN,Yes,F,HUF,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0I3:Mount Sterling,200112,Present,7,KY,Yes,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0I8:Cynthiana-Harrison County,------,Present,7,KY,Yes,F,LEX,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0K5:Jerseyville Aviation Inc,------,Present,C,IL,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0KY4:Russell County Ambulance Service,201106,Present,3,KY,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
0M0:Dumas/B Free Municipal,202002,Present,2,AR,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0M1:Parsons/Scott Field,202002,Present,7,TN,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0M4:Camden/Benton County,202002,Present,7,TN,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0M5:Waverly/Humphreys County,202002,Present,7,TN,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0M8:Lake Providence/Byerley,202002,Present,7,LA,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0O5:Davis/University,199810,Present,4,CA,No,F,ZOA,ZOA,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0R0:Columbia-Marion County,199810,Present,7,MS,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0R3:Abbeville/Crusta Memorial,199810,Present,2,LA,Yes,F,LFT,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0R4:Vidalia/Concordia Parish,------,Present,2,LA,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0R5:Winnfield/D G Joyce,------,Present,2,LA,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0R9:Hammond Municipal,199510,Present,2,LA,Yes,F,MSY,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0TN8:Erlanger Medical Cntr Hlpt,199510,Present,7,TN,Yes,F,CHA,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0V3:Minden/Pioneer Village Fld,199510,Present,3,NE,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0V4:Brookneal/Campbell County,199502,Present,1,VA,No,F,ZDC,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0W3:Churchville/Harford Cnty,199604,Present,1,MD,Yes,F,BWI,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
10C:Greenwood/Wonder Lake,199210,Present,C,IL,Yes,F,C90,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
10G:Millersburg/Holmes Cnty,199210,Present,C,OH,Yes,F,CAK,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
10J:Chiefland/White Farms,199210,Present,7,FL,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
10MI:Saginaw/St Marys Hospital,199911,Present,C,MI,Yes,F,MBS,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
11A:Clayton Municipal,199210,Present,7,AL,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
11D:Clarion County,------,Present,1,PA,No,F,ZOB,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
11M:Fulton-Itawamba Cnty,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
11R:Brenham Municipal,199210,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12C:Rochelle Municipal,------,Present,C,IL,Yes,F,RFD,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12G:Shelby Community,------,Present,C,OH,Yes,F,MFD,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12J:Brewton Municipal,200001,Present,7,AL,Yes,F,P31,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12K:Superior Municipal,------,Present,3,NE,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12N:Aeroflex-Andover,199610,Present,1,NJ,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12S:Monument Municipal,199610,Present,S,OR,Yes,F,S46,ZSE,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
12V:Milton/Ona Airpark,199510,Present,1,WV,Yes,F,HTS,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
13K:Eureka Municipal,------,Present,3,KS,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
13N:Trinca Arpt Andover,200501,Present,1,NJ,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
13PA:Tidioute/Rigrtona,199902,Present,C,PA,Yes,F,ERI,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
14G:Fremont,199210,Present,C,OH,Yes,F,TOL,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
14N:Lehighton/Beltzville,199210,Present,1,PA,Yes,F,WRI,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
14R:Caldwell Municipal,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
15A:Creola/N Mobile Cnty,199210,Present,7,AL,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
15F:Haskell Municipal,199210,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
15J:Adel/Cook County,199210,Present,7,GA,Yes,F,VAD,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
16D:Perham Municipal,199908,Present,C,MN,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
16G:Tiffin/Seneca County,199210,Present,C,OH,Yes,F,TOL,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
16J:Dawson Municipal,199210,Present,7,GA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
16N:Iuka/Tishomingo Health Srv,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
17G:Port Bucyrus/Crawford Cnty,199610,Present,C,OH,Yes,F,MFD,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
17J:Donalsonville Municipal,199810,Present,7,GA,Yes,F,OZR,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
17K:Boise City,202002,Present,2,OK,No,F,ZAB,ZAB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
17N:Cross Keys,------,Present,1,NJ,Yes,F,PHL,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
18A:Canon/Franklin County,------,Present,7,GA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
18M:Linwood,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
"18TE:Alert Field, Big Sandy",200501,Present,2,TX,Yes,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
19A:Jefferson/Jackson County,199210,Present,7,GA,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
19IN:Resler,201106,Present,3,IN,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
19M:Lexington/C A Moore,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
19N:Berlin/Camden County,199210,Present,1,NJ,Yes,F,WRI,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A0:Chattanooga/Dallas Bay,------,Present,7,TN,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A4:Clinton/Carolina Cow Cntry,199210,Present,7,SC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A5:Franklin/Macon County,------,Present,7,NC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A6:Middlesboro-Bell County,199210,Present,7,KY,No,F,ZID,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A8:Empire,199210,Present,4,NV,No,F,ZOA,ZOA,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1A9:Prattville/Autauga County,------,Present,7,AL,Yes,F,MGM,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B0:Dexter Regional,------,Present,E,ME,Yes,F,BGR,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B1:Hudson/Columbia County,199210,Present,1,NY,Yes,F,ALB,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B2:Edgartown/Katama Airpark,201803,Present,E,MA,Yes,F,A90,ZBW,0,0,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B4:Durhamville/Kamp,199909,Present,1,NY,Yes,F,T52,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B6:Hopedale Industrial Park,199010,Present,E,MA,Yes,F,Y90,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1B9:Mansfield Municipal,198802,Present,E,MA,Yes,F,A90,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1C1:Paxton,------,Present,C,IL,Yes,F,CMI,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1C2:Howell-New Lenox,199801,Present,C,IL,Yes,F,C90,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1C5:Plainfield/Clow Int'l,------,Present,C,IL,Yes,F,C90,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1D2:Canton-Plymouth-Mettetal,199610,Present,C,MI,Yes,F,D21,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1F0:Ardmore Downtown Exec,199610,Present,2,OK,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1F4:Madill Municipal,------,Present,2,OK,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1F8:Big Sandy/Ambassador Field,199810,Present,2,TX,Yes,F,GGG,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1F9:Bridgeport Municipal,------,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1G0:Bowling Green/Wood County,------,Present,C,OH,Yes,F,TOL,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1G1:Elyria,------,Present,C,OH,Yes,F,CLE,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1G2:Granite Falls Muni,200112,Present,C,MN,Yes,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1G3:Kent State University,199210,Present,C,OH,Yes,F,CAK,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1G5:Medina Municipal,199210,Present,C,OH,Yes,F,CLE,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1H0:St Louis/Creve Coeur,198703,Present,3,MO,Yes,F,T75,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1H2:Effingham Cty Memorial,199210,Present,C,IL,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1H7:Grove Municipal,------,Present,2,OK,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1H8:Casey Municipal,199310,Present,C,IL,Yes,F,HUF,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1I3:Bloomfield/Shawnee Field,199610,Present,C,IN,Yes,F,HUF,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1IN8:Lafayette/Aretz,199810,Present,C,IN,No,F,ZAU,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1K1:Benton,------,Present,3,KS,Yes,F,ICT,ZKC,0,0,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1K7:Fredonia,------,Present,3,KS,No,F,ZKC,ZKC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1LA4:Ellerbe Field,201106,Present,3,LA,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
1LS4:Tulane Medical Center,201106,Present,3,LA,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
1M1:North Little Rock Mun,202002,Present,2,AR,Yes,F,LIT,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1M2:Belzoni Municipal,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1M4:Haleyville/Posey Field,202002,Present,7,AL,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1M5:Portland Municipal,202002,Present,7,TN,Yes,F,BNA,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1M9:Cadiz/Lake Barkley,202002,Present,7,KY,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
"1N2:Spadaro Arpt, East Moriches",200501,Present,1,NY,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1N4:Woodbine Municipal,199210,Present,1,NJ,Yes,F,ACY,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1N7:Blairstown,199210,Present,1,NJ,Yes,F,ABE,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1N9:Allentown/Queen City Muni,199210,Present,1,PA,Yes,F,ABE,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1O3:Lodi,200303,Present,4,CA,Yes,F,SCT,ZOA,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1R2:Harrah/Steciak Strip,199210,Present,2,OK,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1R5:Cameron Airstrip,199510,Present,2,LA,Yes,F,LCH,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1R7:Brookhaven-Lincoln Cty,199210,Present,7,MS,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1R8:Bay Minette Municipal,------,Present,7,AL,Yes,F,MOB,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1R9:Conroe/Cut & Shoot,199810,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1S0:Puyallup/Pierce County,198708,Present,S,WA,Yes,F,S46,ZSE,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1S3:Forsyth/Tillitt Field,------,Present,S,MT,No,F,ZLC,ZLC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1T1:Columbus/2 G Ranch,199210,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1V5:Boulder Muni,200503,Present,S,CO,Yes,F,D01,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1V6:Canon City/Fremont County,199902,Present,S,CO,Yes,F,PUB,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
1W2:Baltimore Airpark,199604,Present,1,MD,Yes,F,BWI,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
20A:Oneonta/Robbins Field,------,Present,7,AL,Yes,F,BHM,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
20R:Crystal City Muni,------,Present,2,TX,Yes,F,BPT,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
20V:Kremmling/McElroy Airfld,------,Present,S,CO,No,F,ZDV,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
21D:St Paul/Lake Elmo,199210,Present,C,MN,Yes,F,M98,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
21N:Mattituck Airbase,------,Present,1,NY,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
21XS:Big Spring/McMahon Wrinkle,199610,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
22I:McArthur/Vinton County,------,Present,C,OH,Yes,F,CMH,ZID,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
22J:Cottondale,199210,Present,7,FL,Yes,F,GSP,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
22N:Lehighton/J Arner Mem,199610,Present,1,PA,Yes,F,ABE,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
22Y:Motley/Morey's,199510,Present,C,MN,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
23J:Jacksonville/Herlong,199906,Present,7,FL,Yes,F,JAX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
23M:Quitman/Clarke County,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
23N:Bayport Aerodrome,199804,Present,1,NY,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
24A:Sylva/Jackson County,------,Present,7,NC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
24LA:Cameron/Era Helicopters,199210,Present,2,LA,Yes,F,LCH,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
25A:Weaver/McMinn,------,Present,7,AL,Yes,F,BHM,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
25D:Forest Lake,199404,Present,C,MN,Yes,F,M98,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
25J:Cuthbert-Randolph,198803,Present,7,GA,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
25M:Ripley,202002,Present,7,MS,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
25N:Vineland/Rudys,199210,Present,1,NJ,Yes,F,ACY,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
26J:Crescent City/Thunderbird,199802,Present,7,FL,Yes,F,CLT,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
26N:Ocean City Municipal,199210,Present,1,NJ,Yes,F,ACY,ZDC,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
26R:Edna/Jackson County,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
